,construction,fom,vom
battery_li,0.53,0.23,0
biopower,14,1.5,0
beccs_mod,14,1.5,0
beccs_max,14,1.5,0
coal-CCS_mod,11.08,0.22,0.00001
coal-CCS_max,11.08,0.22,0.00001
coal-CCS-F1,11.08,0.22,0.00001
coal-CCS-F2,11.08,0.22,0.00001
coal-CCS-F3,11.08,0.22,0.00001
Coal-IGCC,11.08,0.22,0.00001
coal-new,11.08,0.22,0.00001
CoalOldScr,11.08,0.22,0.00001
CoalOldUns,11.08,0.22,0.00001
CofireNew,11.08,0.22,0.00001
CofireOld,11.08,0.22,0.00001
csp-ns,1.61,0.14,0
distpv,4.19,0.13,0
Gas-CC,1.27,0.14,0.00007
Gas-CC-CCS_mod,1.27,0.14,0.00007
Gas-CC-CCS_max,1.27,0.14,0.00007
Gas-CC-CCS-F1,1.27,0.14,0.00007
Gas-CC-CCS-F2,1.27,0.14,0.00007
Gas-CC-CCS-F3,1.27,0.14,0.00007
Gas-CT,1.27,0.14,0.00007
H2-CT,1.27,0.14,0.00007
H2-CC,1.27,0.14,0.00007
geothermal,6.8,0.4,0
Hydro,7.36,0.14,0
lfill-gas,1.27,0.14,0
Nuclear,11.8,0.6,0
Nuclear-SMR,11.8,0.6,0
o-g-s,1.27,0.14,0
pumped-hydro,7.18,0.08,0
pumped-hydro-flex,7.18,0.08,0
upv_1,1.61,0.09,0
upv_2,1.61,0.09,0
upv_3,1.61,0.09,0
upv_4,1.61,0.09,0
upv_5,1.61,0.09,0
upv_6,1.61,0.09,0
upv_7,1.61,0.09,0
upv_8,1.61,0.09,0
upv_9,1.61,0.09,0
upv_10,1.61,0.09,0
pvb1_1,1.61,0.09,0
pvb1_2,1.61,0.09,0
pvb1_3,1.61,0.09,0
pvb1_4,1.61,0.09,0
pvb1_5,1.61,0.09,0
pvb1_6,1.61,0.09,0
pvb1_7,1.61,0.09,0
pvb1_8,1.61,0.09,0
pvb1_9,1.61,0.09,0
pvb1_10,1.61,0.09,0
pvb2_1,1.61,0.09,0
pvb2_2,1.61,0.09,0
pvb2_3,1.61,0.09,0
pvb2_4,1.61,0.09,0
pvb2_5,1.61,0.09,0
pvb2_6,1.61,0.09,0
pvb2_7,1.61,0.09,0
pvb2_8,1.61,0.09,0
pvb2_9,1.61,0.09,0
pvb2_10,1.61,0.09,0
pvb3_1,1.61,0.09,0
pvb3_2,1.61,0.09,0
pvb3_3,1.61,0.09,0
pvb3_4,1.61,0.09,0
pvb3_5,1.61,0.09,0
pvb3_6,1.61,0.09,0
pvb3_7,1.61,0.09,0
pvb3_8,1.61,0.09,0
pvb3_9,1.61,0.09,0
pvb3_10,1.61,0.09,0
wind-ofs_1,1.5,0.28,0
wind-ofs_2,1.5,0.28,0
wind-ofs_3,1.5,0.28,0
wind-ofs_4,1.5,0.28,0
wind-ofs_5,1.5,0.28,0
wind-ofs_6,1.5,0.28,0
wind-ofs_7,1.5,0.28,0
wind-ofs_8,1.5,0.28,0
wind-ofs_9,1.5,0.28,0
wind-ofs_10,1.5,0.28,0
wind-ons_1,2.65,0.21,0
wind-ons_2,2.65,0.21,0
wind-ons_3,2.65,0.21,0
wind-ons_4,2.65,0.21,0
wind-ons_5,2.65,0.21,0
wind-ons_6,2.65,0.21,0
wind-ons_7,2.65,0.21,0
wind-ons_8,2.65,0.21,0
wind-ons_9,2.65,0.21,0
wind-ons_10,2.65,0.21,0
csp1_1,1.61,0.6,0
csp1_2,1.61,0.6,0
csp1_3,1.61,0.6,0
csp1_4,1.61,0.6,0
csp1_5,1.61,0.6,0
csp1_6,1.61,0.6,0
csp1_7,1.61,0.6,0
csp1_8,1.61,0.6,0
csp1_9,1.61,0.6,0
csp1_10,1.61,0.6,0
csp1_11,1.61,0.6,0
csp1_12,1.61,0.6,0
csp2_1,1.61,0.6,0
csp2_2,1.61,0.6,0
csp2_3,1.61,0.6,0
csp2_4,1.61,0.6,0
csp2_5,1.61,0.6,0
csp2_6,1.61,0.6,0
csp2_7,1.61,0.6,0
csp2_8,1.61,0.6,0
csp2_9,1.61,0.6,0
csp2_10,1.61,0.6,0
csp2_11,1.61,0.6,0
csp2_12,1.61,0.6,0
csp3_1,1.61,0.6,0
csp3_2,1.61,0.6,0
csp3_3,1.61,0.6,0
csp3_4,1.61,0.6,0
csp3_5,1.61,0.6,0
csp3_6,1.61,0.6,0
csp3_7,1.61,0.6,0
csp3_8,1.61,0.6,0
csp3_9,1.61,0.6,0
csp3_10,1.61,0.6,0
csp3_11,1.61,0.6,0
csp3_12,1.61,0.6,0
csp4_1,1.61,0.6,0
csp4_2,1.61,0.6,0
csp4_3,1.61,0.6,0
csp4_4,1.61,0.6,0
csp4_5,1.61,0.6,0
csp4_6,1.61,0.6,0
csp4_7,1.61,0.6,0
csp4_8,1.61,0.6,0
csp4_9,1.61,0.6,0
csp4_10,1.61,0.6,0
csp4_11,1.61,0.6,0
csp4_12,1.61,0.6,0
hydD,7.36,0.14,0
hydND,7.36,0.14,0
hydSD,7.36,0.14,0
hydSND,7.36,0.14,0
hydUD,7.36,0.14,0
hydUND,7.36,0.14,0
hydNPD,7.36,0.14,0
hydNPND,7.36,0.14,0
hydED,7.36,0.14,0
hydEND,7.36,0.14,0
egs_allkm_1,6.8,0.4,0
egs_allkm_2,6.8,0.4,0
egs_allkm_3,6.8,0.4,0
egs_allkm_4,6.8,0.4,0
egs_allkm_5,6.8,0.4,0
egs_allkm_6,6.8,0.4,0
egs_allkm_7,6.8,0.4,0
egs_allkm_8,6.8,0.4,0
egs_allkm_9,6.8,0.4,0
egs_allkm_10,6.8,0.4,0
geohydro_allkm_1,6.8,0.4,0
geohydro_allkm_2,6.8,0.4,0
geohydro_allkm_3,6.8,0.4,0
geohydro_allkm_4,6.8,0.4,0
geohydro_allkm_5,6.8,0.4,0
geohydro_allkm_6,6.8,0.4,0
geohydro_allkm_7,6.8,0.4,0
geohydro_allkm_8,6.8,0.4,0
geohydro_allkm_9,6.8,0.4,0
geohydro_allkm_10,6.8,0.4,0
egs_nearfield_1,6.8,0.4,0
egs_nearfield_2,6.8,0.4,0
egs_nearfield_3,6.8,0.4,0
egs_nearfield_4,6.8,0.4,0
egs_nearfield_5,6.8,0.4,0
egs_nearfield_6,6.8,0.4,0
egs_nearfield_7,6.8,0.4,0
egs_nearfield_8,6.8,0.4,0
egs_nearfield_9,6.8,0.4,0
egs_nearfield_10,6.8,0.4,0
Gas-CT_H2-CT,1.27,0.14,0.00007
Gas-CC_H2-CC,1.27,0.14,0.00007
CoalOldUns_CoalOldScr,11.08,0.22,0.00001
CoalOldUns_CofireOld,11.08,0.22,0.00001
CoalOldScr_CofireOld,11.08,0.22,0.00001
coal-new_CofireNew,11.08,0.22,0.00001
Gas-CC_Gas-CC-CCS_mod,1.27,0.14,0.00007
Coal-IGCC_coal-CCS_mod,11.08,0.22,0.00001
coal-new_coal-CCS_mod,11.08,0.22,0.00001
CoalOldScr_coal-CCS_mod,11.08,0.22,0.00001
CoalOldUns_coal-CCS_mod,11.08,0.22,0.00001
CofireNew_coal-CCS_mod,11.08,0.22,0.00001
CofireOld_coal-CCS_mod,11.08,0.22,0.00001
Gas-CC_Gas-CC-CCS_max,1.27,0.14,0.00007
Coal-IGCC_coal-CCS_max,11.08,0.22,0.00001
coal-new_coal-CCS_max,11.08,0.22,0.00001
CoalOldScr_coal-CCS_max,11.08,0.22,0.00001
CoalOldUns_coal-CCS_max,11.08,0.22,0.00001
CofireNew_coal-CCS_max,11.08,0.22,0.00001
CofireOld_coal-CCS_max,11.08,0.22,0.00001
hydEND_hydED,7.36,0.14,0
hydED_pumped-hydro,7.18,0.08,0
hydED_pumped-hydro-flex,7.18,0.08,0