i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2010,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2011,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2012,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2013,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2014,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2015,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2016,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2017,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2018,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2019,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2020,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2021,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2022,2656.6,70.7,5.11,7.22
Gas-CC-CCS_mod,2023,2605.9,69.3,5.04,7.191
Gas-CC-CCS_mod,2024,2555.2,67.9,4.96,7.162
Gas-CC-CCS_mod,2025,2504.5,66.6,4.88,7.134
Gas-CC-CCS_mod,2026,2453.8,65.2,4.8,7.105
Gas-CC-CCS_mod,2027,2403.1,63.8,4.72,7.076
Gas-CC-CCS_mod,2028,2352.3,62.4,4.64,7.048
Gas-CC-CCS_mod,2029,2301.6,61.1,4.57,7.019
Gas-CC-CCS_mod,2030,2250.9,59.7,4.49,6.99
Gas-CC-CCS_mod,2031,2200.2,58.3,4.41,6.961
Gas-CC-CCS_mod,2032,2149.5,56.9,4.33,6.933
Gas-CC-CCS_mod,2033,2098.8,55.5,4.25,6.904
Gas-CC-CCS_mod,2034,2048.1,54.2,4.17,6.875
Gas-CC-CCS_mod,2035,1997.4,52.8,4.1,6.847
Gas-CC-CCS_mod,2036,1974.6,52.2,4.07,6.847
Gas-CC-CCS_mod,2037,1951.8,51.7,4.04,6.847
Gas-CC-CCS_mod,2038,1928.9,51.1,4.01,6.847
Gas-CC-CCS_mod,2039,1906.1,50.5,3.98,6.847
Gas-CC-CCS_mod,2040,1883.3,50.0,3.95,6.847
Gas-CC-CCS_mod,2041,1860.5,49.4,3.92,6.847
Gas-CC-CCS_mod,2042,1837.6,48.9,3.89,6.847
Gas-CC-CCS_mod,2043,1814.8,48.3,3.86,6.847
Gas-CC-CCS_mod,2044,1792.0,47.8,3.84,6.847
Gas-CC-CCS_mod,2045,1769.2,47.2,3.81,6.847
Gas-CC-CCS_mod,2046,1746.4,46.6,3.78,6.847
Gas-CC-CCS_mod,2047,1723.5,46.1,3.75,6.847
Gas-CC-CCS_mod,2048,1700.7,45.5,3.72,6.847
Gas-CC-CCS_mod,2049,1677.9,45.0,3.69,6.847
Gas-CC-CCS_mod,2050,1655.1,44.4,3.66,6.847
Gas-CC_H_1x1-CCS_mod,2010,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2011,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2012,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2013,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2014,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2015,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2016,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2017,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2018,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2019,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2020,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2021,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2022,2968.7,78,5.3,6.848
Gas-CC_H_1x1-CCS_mod,2023,2923.5,76.8,5.23,6.835
Gas-CC_H_1x1-CCS_mod,2024,2878.3,75.6,5.17,6.822
Gas-CC_H_1x1-CCS_mod,2025,2833.1,74.4,5.1,6.808
Gas-CC_H_1x1-CCS_mod,2026,2787.9,73.2,5.03,6.795
Gas-CC_H_1x1-CCS_mod,2027,2742.7,72,4.96,6.782
Gas-CC_H_1x1-CCS_mod,2028,2697.6,70.9,4.89,6.769
Gas-CC_H_1x1-CCS_mod,2029,2652.4,69.7,4.82,6.756
Gas-CC_H_1x1-CCS_mod,2030,2607.2,68.5,4.76,6.743
Gas-CC_H_1x1-CCS_mod,2031,2562,67.3,4.69,6.73
Gas-CC_H_1x1-CCS_mod,2032,2516.8,66.1,4.62,6.716
Gas-CC_H_1x1-CCS_mod,2033,2471.6,64.9,4.55,6.703
Gas-CC_H_1x1-CCS_mod,2034,2426.4,63.7,4.48,6.69
Gas-CC_H_1x1-CCS_mod,2035,2381.2,62.5,4.41,6.677
Gas-CC_H_1x1-CCS_mod,2036,2353.9,61.9,4.38,6.677
Gas-CC_H_1x1-CCS_mod,2037,2326.5,61.2,4.34,6.677
Gas-CC_H_1x1-CCS_mod,2038,2299.2,60.5,4.31,6.677
Gas-CC_H_1x1-CCS_mod,2039,2271.9,59.9,4.28,6.677
Gas-CC_H_1x1-CCS_mod,2040,2244.5,59.2,4.24,6.677
Gas-CC_H_1x1-CCS_mod,2041,2217.2,58.5,4.21,6.677
Gas-CC_H_1x1-CCS_mod,2042,2189.9,57.9,4.17,6.677
Gas-CC_H_1x1-CCS_mod,2043,2162.5,57.2,4.14,6.677
Gas-CC_H_1x1-CCS_mod,2044,2135.2,56.5,4.1,6.677
Gas-CC_H_1x1-CCS_mod,2045,2107.9,55.9,4.07,6.677
Gas-CC_H_1x1-CCS_mod,2046,2080.5,55.2,4.03,6.677
Gas-CC_H_1x1-CCS_mod,2047,2053.2,54.5,4,6.677
Gas-CC_H_1x1-CCS_mod,2048,2025.9,53.9,3.96,6.677
Gas-CC_H_1x1-CCS_mod,2049,1998.5,53.2,3.93,6.677
Gas-CC_H_1x1-CCS_mod,2050,1971.2,52.5,3.89,6.677
Gas-CC_H_2x1-CCS_mod,2010,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2011,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2012,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2013,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2014,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2015,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2016,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2017,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2018,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2019,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2020,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2021,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2022,2524.1,65.8,4.86,7.007
Gas-CC_H_2x1-CCS_mod,2023,2479.2,64.7,4.79,6.986
Gas-CC_H_2x1-CCS_mod,2024,2434.2,63.5,4.73,6.966
Gas-CC_H_2x1-CCS_mod,2025,2389.2,62.3,4.66,6.945
Gas-CC_H_2x1-CCS_mod,2026,2344.2,61.1,4.59,6.925
Gas-CC_H_2x1-CCS_mod,2027,2299.2,60,4.52,6.904
Gas-CC_H_2x1-CCS_mod,2028,2254.3,58.8,4.45,6.884
Gas-CC_H_2x1-CCS_mod,2029,2209.3,57.6,4.39,6.863
Gas-CC_H_2x1-CCS_mod,2030,2164.3,56.4,4.32,6.843
Gas-CC_H_2x1-CCS_mod,2031,2119.3,55.3,4.25,6.822
Gas-CC_H_2x1-CCS_mod,2032,2074.3,54.1,4.18,6.802
Gas-CC_H_2x1-CCS_mod,2033,2029.3,52.9,4.12,6.781
Gas-CC_H_2x1-CCS_mod,2034,1984.4,51.7,4.05,6.761
Gas-CC_H_2x1-CCS_mod,2035,1939.4,50.5,3.98,6.74
Gas-CC_H_2x1-CCS_mod,2036,1917.2,50,3.95,6.74
Gas-CC_H_2x1-CCS_mod,2037,1895,49.5,3.92,6.74
Gas-CC_H_2x1-CCS_mod,2038,1872.8,48.9,3.9,6.74
Gas-CC_H_2x1-CCS_mod,2039,1850.6,48.4,3.87,6.74
Gas-CC_H_2x1-CCS_mod,2040,1828.4,47.8,3.84,6.74
Gas-CC_H_2x1-CCS_mod,2041,1806.2,47.3,3.81,6.74
Gas-CC_H_2x1-CCS_mod,2042,1784.1,46.8,3.78,6.74
Gas-CC_H_2x1-CCS_mod,2043,1761.9,46.2,3.75,6.74
Gas-CC_H_2x1-CCS_mod,2044,1739.7,45.7,3.73,6.74
Gas-CC_H_2x1-CCS_mod,2045,1717.5,45.1,3.7,6.74
Gas-CC_H_2x1-CCS_mod,2046,1695.3,44.6,3.67,6.74
Gas-CC_H_2x1-CCS_mod,2047,1673.1,44,3.64,6.74
Gas-CC_H_2x1-CCS_mod,2048,1650.9,43.5,3.61,6.74
Gas-CC_H_2x1-CCS_mod,2049,1628.7,43,3.59,6.74
Gas-CC_H_2x1-CCS_mod,2050,1606.5,42.4,3.56,6.74