month,day,2season,4season,12month
1,1,cold,cold,cold
1,2,cold,cold,cold
1,3,cold,cold,cold
1,4,cold,cold,cold
1,5,cold,cold,cold
1,6,cold,cold,cold
1,7,cold,cold,cold
1,8,cold,cold,cold
1,9,cold,cold,cold
1,10,cold,cold,cold
1,11,cold,cold,cold
1,12,cold,cold,cold
1,13,cold,cold,cold
1,14,cold,cold,cold
1,15,cold,cold,cold
1,16,cold,cold,cold
1,17,cold,cold,cold
1,18,cold,cold,cold
1,19,cold,cold,cold
1,20,cold,cold,cold
1,21,cold,cold,cold
1,22,cold,cold,cold
1,23,cold,cold,cold
1,24,cold,cold,cold
1,25,cold,cold,cold
1,26,cold,cold,cold
1,27,cold,cold,cold
1,28,cold,cold,cold
1,29,cold,cold,cold
1,30,cold,cold,cold
1,31,cold,cold,cold
2,1,cold,cold,feb
2,2,cold,cold,feb
2,3,cold,cold,feb
2,4,cold,cold,feb
2,5,cold,cold,feb
2,6,cold,cold,feb
2,7,cold,cold,feb
2,8,cold,cold,feb
2,9,cold,cold,feb
2,10,cold,cold,feb
2,11,cold,cold,feb
2,12,cold,cold,feb
2,13,cold,cold,feb
2,14,cold,cold,feb
2,15,cold,cold,feb
2,16,cold,cold,feb
2,17,cold,cold,feb
2,18,cold,cold,feb
2,19,cold,cold,feb
2,20,cold,cold,feb
2,21,cold,cold,feb
2,22,cold,cold,feb
2,23,cold,cold,feb
2,24,cold,cold,feb
2,25,cold,cold,feb
2,26,cold,cold,feb
2,27,cold,cold,feb
2,28,cold,cold,feb
2,29,cold,cold,feb
3,1,cold,spring,mar
3,2,cold,spring,mar
3,3,cold,spring,mar
3,4,cold,spring,mar
3,5,cold,spring,mar
3,6,cold,spring,mar
3,7,cold,spring,mar
3,8,cold,spring,mar
3,9,cold,spring,mar
3,10,cold,spring,mar
3,11,cold,spring,mar
3,12,cold,spring,mar
3,13,cold,spring,mar
3,14,cold,spring,mar
3,15,cold,spring,mar
3,16,cold,spring,mar
3,17,cold,spring,mar
3,18,cold,spring,mar
3,19,cold,spring,mar
3,20,cold,spring,mar
3,21,cold,spring,mar
3,22,cold,spring,mar
3,23,cold,spring,mar
3,24,cold,spring,mar
3,25,cold,spring,mar
3,26,cold,spring,mar
3,27,cold,spring,mar
3,28,cold,spring,mar
3,29,cold,spring,mar
3,30,cold,spring,mar
3,31,cold,spring,mar
4,1,cold,spring,apr
4,2,cold,spring,apr
4,3,cold,spring,apr
4,4,cold,spring,apr
4,5,cold,spring,apr
4,6,cold,spring,apr
4,7,cold,spring,apr
4,8,cold,spring,apr
4,9,cold,spring,apr
4,10,cold,spring,apr
4,11,cold,spring,apr
4,12,cold,spring,apr
4,13,cold,spring,apr
4,14,cold,spring,apr
4,15,hot,spring,apr
4,16,hot,spring,apr
4,17,hot,spring,apr
4,18,hot,spring,apr
4,19,hot,spring,apr
4,20,hot,spring,apr
4,21,hot,spring,apr
4,22,hot,spring,apr
4,23,hot,spring,apr
4,24,hot,spring,apr
4,25,hot,spring,apr
4,26,hot,spring,apr
4,27,hot,spring,apr
4,28,hot,spring,apr
4,29,hot,spring,apr
4,30,hot,spring,apr
5,1,hot,spring,may
5,2,hot,spring,may
5,3,hot,spring,may
5,4,hot,spring,may
5,5,hot,spring,may
5,6,hot,spring,may
5,7,hot,spring,may
5,8,hot,spring,may
5,9,hot,spring,may
5,10,hot,spring,may
5,11,hot,spring,may
5,12,hot,spring,may
5,13,hot,spring,may
5,14,hot,spring,may
5,15,hot,spring,may
5,16,hot,spring,may
5,17,hot,spring,may
5,18,hot,spring,may
5,19,hot,spring,may
5,20,hot,spring,may
5,21,hot,spring,may
5,22,hot,spring,may
5,23,hot,spring,may
5,24,hot,spring,may
5,25,hot,spring,may
5,26,hot,spring,may
5,27,hot,spring,may
5,28,hot,spring,may
5,29,hot,spring,may
5,30,hot,spring,may
5,31,hot,spring,may
6,1,hot,hot,jun
6,2,hot,hot,jun
6,3,hot,hot,jun
6,4,hot,hot,jun
6,5,hot,hot,jun
6,6,hot,hot,jun
6,7,hot,hot,jun
6,8,hot,hot,jun
6,9,hot,hot,jun
6,10,hot,hot,jun
6,11,hot,hot,jun
6,12,hot,hot,jun
6,13,hot,hot,jun
6,14,hot,hot,jun
6,15,hot,hot,jun
6,16,hot,hot,jun
6,17,hot,hot,jun
6,18,hot,hot,jun
6,19,hot,hot,jun
6,20,hot,hot,jun
6,21,hot,hot,jun
6,22,hot,hot,jun
6,23,hot,hot,jun
6,24,hot,hot,jun
6,25,hot,hot,jun
6,26,hot,hot,jun
6,27,hot,hot,jun
6,28,hot,hot,jun
6,29,hot,hot,jun
6,30,hot,hot,jun
7,1,hot,hot,hot
7,2,hot,hot,hot
7,3,hot,hot,hot
7,4,hot,hot,hot
7,5,hot,hot,hot
7,6,hot,hot,hot
7,7,hot,hot,hot
7,8,hot,hot,hot
7,9,hot,hot,hot
7,10,hot,hot,hot
7,11,hot,hot,hot
7,12,hot,hot,hot
7,13,hot,hot,hot
7,14,hot,hot,hot
7,15,hot,hot,hot
7,16,hot,hot,hot
7,17,hot,hot,hot
7,18,hot,hot,hot
7,19,hot,hot,hot
7,20,hot,hot,hot
7,21,hot,hot,hot
7,22,hot,hot,hot
7,23,hot,hot,hot
7,24,hot,hot,hot
7,25,hot,hot,hot
7,26,hot,hot,hot
7,27,hot,hot,hot
7,28,hot,hot,hot
7,29,hot,hot,hot
7,30,hot,hot,hot
7,31,hot,hot,hot
8,1,hot,hot,aug
8,2,hot,hot,aug
8,3,hot,hot,aug
8,4,hot,hot,aug
8,5,hot,hot,aug
8,6,hot,hot,aug
8,7,hot,hot,aug
8,8,hot,hot,aug
8,9,hot,hot,aug
8,10,hot,hot,aug
8,11,hot,hot,aug
8,12,hot,hot,aug
8,13,hot,hot,aug
8,14,hot,hot,aug
8,15,hot,hot,aug
8,16,hot,hot,aug
8,17,hot,hot,aug
8,18,hot,hot,aug
8,19,hot,hot,aug
8,20,hot,hot,aug
8,21,hot,hot,aug
8,22,hot,hot,aug
8,23,hot,hot,aug
8,24,hot,hot,aug
8,25,hot,hot,aug
8,26,hot,hot,aug
8,27,hot,hot,aug
8,28,hot,hot,aug
8,29,hot,hot,aug
8,30,hot,hot,aug
8,31,hot,hot,aug
9,1,hot,fall,sep
9,2,hot,fall,sep
9,3,hot,fall,sep
9,4,hot,fall,sep
9,5,hot,fall,sep
9,6,hot,fall,sep
9,7,hot,fall,sep
9,8,hot,fall,sep
9,9,hot,fall,sep
9,10,hot,fall,sep
9,11,hot,fall,sep
9,12,hot,fall,sep
9,13,hot,fall,sep
9,14,hot,fall,sep
9,15,hot,fall,sep
9,16,hot,fall,sep
9,17,hot,fall,sep
9,18,hot,fall,sep
9,19,hot,fall,sep
9,20,hot,fall,sep
9,21,hot,fall,sep
9,22,hot,fall,sep
9,23,hot,fall,sep
9,24,hot,fall,sep
9,25,hot,fall,sep
9,26,hot,fall,sep
9,27,hot,fall,sep
9,28,hot,fall,sep
9,29,hot,fall,sep
9,30,hot,fall,sep
10,1,hot,fall,oct
10,2,hot,fall,oct
10,3,hot,fall,oct
10,4,hot,fall,oct
10,5,hot,fall,oct
10,6,hot,fall,oct
10,7,hot,fall,oct
10,8,hot,fall,oct
10,9,hot,fall,oct
10,10,hot,fall,oct
10,11,hot,fall,oct
10,12,hot,fall,oct
10,13,hot,fall,oct
10,14,hot,fall,oct
10,15,cold,fall,oct
10,16,cold,fall,oct
10,17,cold,fall,oct
10,18,cold,fall,oct
10,19,cold,fall,oct
10,20,cold,fall,oct
10,21,cold,fall,oct
10,22,cold,fall,oct
10,23,cold,fall,oct
10,24,cold,fall,oct
10,25,cold,fall,oct
10,26,cold,fall,oct
10,27,cold,fall,oct
10,28,cold,fall,oct
10,29,cold,fall,oct
10,30,cold,fall,oct
10,31,cold,fall,oct
11,1,cold,fall,nov
11,2,cold,fall,nov
11,3,cold,fall,nov
11,4,cold,fall,nov
11,5,cold,fall,nov
11,6,cold,fall,nov
11,7,cold,fall,nov
11,8,cold,fall,nov
11,9,cold,fall,nov
11,10,cold,fall,nov
11,11,cold,fall,nov
11,12,cold,fall,nov
11,13,cold,fall,nov
11,14,cold,fall,nov
11,15,cold,fall,nov
11,16,cold,fall,nov
11,17,cold,fall,nov
11,18,cold,fall,nov
11,19,cold,fall,nov
11,20,cold,fall,nov
11,21,cold,fall,nov
11,22,cold,fall,nov
11,23,cold,fall,nov
11,24,cold,fall,nov
11,25,cold,fall,nov
11,26,cold,fall,nov
11,27,cold,fall,nov
11,28,cold,fall,nov
11,29,cold,fall,nov
11,30,cold,fall,nov
12,1,cold,cold,dec
12,2,cold,cold,dec
12,3,cold,cold,dec
12,4,cold,cold,dec
12,5,cold,cold,dec
12,6,cold,cold,dec
12,7,cold,cold,dec
12,8,cold,cold,dec
12,9,cold,cold,dec
12,10,cold,cold,dec
12,11,cold,cold,dec
12,12,cold,cold,dec
12,13,cold,cold,dec
12,14,cold,cold,dec
12,15,cold,cold,dec
12,16,cold,cold,dec
12,17,cold,cold,dec
12,18,cold,cold,dec
12,19,cold,cold,dec
12,20,cold,cold,dec
12,21,cold,cold,dec
12,22,cold,cold,dec
12,23,cold,cold,dec
12,24,cold,cold,dec
12,25,cold,cold,dec
12,26,cold,cold,dec
12,27,cold,cold,dec
12,28,cold,cold,dec
12,29,cold,cold,dec
12,30,cold,cold,dec
12,31,cold,cold,dec
